cluster	SEQFID	genus	species	strain
cluster623	SEQF1314	Staphylococcus	aureus	MRSA252
cluster2108	SEQF2193	Pseudomonas	aeruginosa	39016
cluster821	SEQF1405	Streptococcus	pneumoniae	SP3-BS71
cluster205	SEQF1100	Neisseria	meningitidis	53442
cluster1839	SEQF2013	Streptococcus	sanguinis	SK330
cluster3866	SEQF3040	Corynebacterium	sp. HMT 207	hmsc071b10
cluster479	SEQF1249	Klebsiella	pneumoniae	342
cluster3805	SEQF3019	Corynebacterium	aurimucosum	hmsc055a01
cluster1428	SEQF1802	Proteus	mirabilis	ATCC 29906
cluster2406	SEQF2299	Mycobacterium	tuberculosis	UT205
cluster457	SEQF1221	Aggregatibacter	aphrophilus	NJ8700
cluster2008	SEQF2165	Cutibacterium	acnes	TypeIA2 P.acn31
cluster2216	SEQF2231	Streptococcus	pneumoniae	GA41317
cluster3673	SEQF2971	Corynebacterium	aurimucosum	hmsc070e08
cluster3707	SEQF2985	Fusobacterium	sp. HMT 203	cm22
cluster467	SEQF1233	Haemophilus	influenzae	PittHH
cluster938	SEQF1509	Escherichia	coli	O157:H7 str. EC4076 
cluster1115	SEQF1566	Yersinia	pestis	biovar Orientalis str. India 195
cluster2661	SEQF2412	Alloiococcus	otitis	ATCC 51267
cluster942	SEQF1510	Escherichia	coli	O157:H7 str. EC4113
cluster565	SEQF1298	Pseudomonas	aeruginosa	UCBPP-PA14
cluster2072	SEQF2183	Variovorax	paradoxus	EPS
cluster3277	SEQF2764	Mesorhizobium	loti	USDA 3471
cluster523	SEQF1283	Neisseria	meningitidis	"serogroup A, Z2491"
cluster3703	SEQF2983	Haemophilus	parainfluenzae	hmsc066d02
cluster1406	SEQF1790	Neisseria	flavescens	SK114
cluster2715	SEQF2453	Bacteroides	pyogenes	F0041
cluster1515	SEQF1838	Staphylococcus	epidermidis	W23144
cluster1405	SEQF1790	Neisseria	flavescens	SK114
cluster3027	SEQF2634	Tannerella	sp. HMT 286	isolate Cell 1/3
cluster1159	SEQF1588	Streptococcus	pneumoniae	BS458
cluster1849	SEQF2029	Achromobacter	xylosoxidans	AXX-A
cluster1250	SEQF1648	Corynebacterium	matruchotii	ATCC 33806
cluster2545	SEQF2344	Streptococcus	parasanguinis clade 721	FW213
cluster512	SEQF1276	Neisseria	meningitidis	MC58
cluster2923	SEQF2586	Variovorax	paradoxus	B4
cluster922	SEQF1500	Lactococcus	lactis	MG1363
cluster3056	SEQF2670	Fusobacterium	necrophorum	subsp. funduliforme B35
cluster577	SEQF1300	Pseudomonas	fluorescens	Pf-5
cluster1541	SEQF1848	Actinomyces	sp. HMT 175	F0384
cluster2645	SEQF2408	Burkholderia	cepacia	GG4
cluster2148	SEQF2203	Staphylococcus	aureus	O46
cluster3442	SEQF2869	Haemophilus	sp. HMT 036	ccug_66565
cluster3388	SEQF2847	Klebsiella	aerogenes	kctc_2190
cluster1199	SEQF1617	Prevotella	sp. HMT 472	F0295
cluster3640	SEQF2955	Corynebacterium	simulans	hmsc06d04
cluster1868	SEQF2034	Aggregatibacter	actinomycetemcomitans	serotype b str. SCC1398
cluster2229	SEQF2233	Streptococcus	pneumoniae	GA47901
cluster209	SEQF1104	Lactobacillus	jensenii	JV-V16
cluster858	SEQF1431	Staphylococcus	aureus	str. Newman
cluster2324	SEQF2283	Mycobacterium	tuberculosis	CTRI-2
cluster2004	SEQF2164	Cutibacterium	acnes	TypeIA2 P.acn17
cluster3679	SEQF2973	Fusobacterium	nucleatum subsp. animalis	cm1
cluster2772	SEQF2500	Lactobacillus	rhamnosus	LRHMDP3
cluster785	SEQF1395	Variovorax	paradoxus	S110
cluster1676	SEQF1930	Lactobacillus	crispatus	ST1
cluster123	SEQF1059	Streptococcus	pneumoniae	G54
cluster2681	SEQF2428	Lactobacillus	buchneri	NRRL B-30929
cluster1656	SEQF1926	Achromobacter	xylosoxidans	A8
cluster2806	SEQF2521	Pseudomonas	stutzeri	DSM 10701
cluster2253	SEQF2266	Bordetella	pertussis	CS
cluster2904	SEQF2578	Campylobacter	concisus	ATCC 51561
cluster723	SEQF1358	Streptococcus	pyogenes	"MGAS10750, ATCC BAA-1066"
cluster2496	SEQF2325	Bradyrhizobium	elkanii	587
cluster3895	SEQF3048	Corynebacterium	aurimucosum	hmsc056f09
cluster1479	SEQF1814	Staphylococcus	aureus	A9765
cluster155	SEQF1075	Fusobacterium	nucleatum subsp. polymorphum	ATCC 10953
cluster1818	SEQF1996	Streptococcus	anginosus	SK52
cluster2360	SEQF2290	Bacillus	subtilis	subsp. spizizenii TU-B-10
cluster048	SEQF1032	Mycobacterium	tuberculosis	CDC1551
cluster383	SEQF1189	Escherichia	coli	55989
cluster2976	SEQF2609	Streptococcus	anginosus	subsp. whileyi MAS624
cluster3642	SEQF2956	Corynebacterium	amycolatum	hmsc14b06
cluster3302	SEQF2788	Capnocytophaga	haemolytica	CCUG 32990
cluster1234	SEQF1641	Finegoldia	magna	ATCC 53516
cluster3197	SEQF2716	Burkholderia	cepacia	JBK9
cluster2960	SEQF2603	Ralstonia	pickettii	DTP0602
cluster803	SEQF1401	Streptococcus	pneumoniae	SP14-BS69
cluster3813	SEQF3023	Corynebacterium	jeikeium	hmsc058e07
cluster1188	SEQF1602	Capnocytophaga	gingivalis	ATCC 33624
cluster1019	SEQF1529	Streptococcus	pneumoniae	JJA
cluster1138	SEQF1569	Yersinia	pestis	biovar Orientalis str. PEXU2
cluster597	SEQF1303	Pseudomonas	stutzeri	"A1501, CGMCC 0351"
cluster462	SEQF1227	Haemophilus	influenzae	86-028NP
cluster3368	SEQF2837	Aggregatibacter	actinomycetemcomitans	IDH781
cluster1661	SEQF1926	Achromobacter	xylosoxidans	A8
cluster727	SEQF1359	Streptococcus	pyogenes	"MGAS2096, ATCC BAA-1065"
cluster673	SEQF1337	Streptococcus	agalactiae	H36B
cluster1931	SEQF2093	Lactobacillus	iners	LactinV 09V1-c
cluster716	SEQF1356	Streptococcus	pyogenes	MGAS10270
cluster3350	SEQF2822	Fusobacterium	nucleatum subsp. nucleatum	KCOM 1250
cluster2329	SEQF2285	Neisseria	meningitidis	G2136
cluster745	SEQF1364	Streptococcus	pyogenes	"MGAS9429, ATCC BAA-1315"
cluster2320	SEQF2283	Mycobacterium	tuberculosis	CTRI-2
cluster1599	SEQF1880	Anaeroglobus	geminatus	F0357
cluster3050	SEQF2664	Bartonella	schoenbuchensis	m07a
cluster1554	SEQF1851	Acidipropionibacterium	acidifaciens	F0233
cluster2218	SEQF2231	Streptococcus	pneumoniae	GA41317
cluster711	SEQF1349	Streptococcus	pneumoniae	TIGR4
cluster2774	SEQF2502	Leptotrichia	wadei	DSM 19758
cluster1173	SEQF1590	Streptococcus	pneumoniae	SP9v-BS293
cluster285	SEQF1140	Bacillus	anthracis	str. A0174
cluster3141	SEQF2696	Pseudomonas	aeruginosa	ATCC 14886
cluster433	SEQF1207	Escherichia	coli	IAI39 (O7:K1)
cluster838	SEQF1407	Streptococcus	pneumoniae	SP9-BS68
cluster1345	SEQF1712	Escherichia	coli	O103:H2 str. 12009
cluster2834	SEQF2536	Delftia	acidovorans	CCUG 15835
cluster2833	SEQF2536	Delftia	acidovorans	CCUG 15835
cluster919	SEQF1498	Eggerthella	lenta	"DSM 2243, VPI 0255"
cluster3650	SEQF2961	Corynebacterium	simulans	hmsc036d03
cluster1500	SEQF1833	Staphylococcus	aureus	TCH70
cluster2663	SEQF2417	Enterococcus	durans	FB129-CNAB4
cluster3067	SEQF2672	Mycobacterium	neoaurum	VKM Ac-1815D
cluster195	SEQF1096	Mycobacterium	tuberculosis	F11 (ExPEC)
cluster1910	SEQF2062	Finegoldia	magna	BVS033A4
cluster1693	SEQF1944	Neisseria	sp. HMT 020	F0370
cluster2248	SEQF2249	Bifidobacterium	longum	subsp. infantis ATCC 15697
cluster2547	SEQF2345	Streptococcus	salivarius	M18
cluster3828	SEQF3028	Corynebacterium	amycolatum	hmsc061h03
cluster2009	SEQF2166	Cutibacterium	acnes	TypeIA2 P.acn33
cluster1870	SEQF2035	Agrobacterium	tumefaciens	F2
cluster3026	SEQF2630	Mogibacterium	timidum	ATCC 33093
cluster3114	SEQF2695	Pseudomonas	otitidis	nan
cluster2133	SEQF2201	Staphylococcus	aureus	A9754
cluster1823	SEQF1999	Streptococcus	oralis subsp. dentisani clade 398	SK95
cluster3363	SEQF2833	Aggregatibacter	actinomycetemcomitans	serotype d str. SA3033
cluster509	SEQF1275	Neisseria	meningitidis	"serogroup C, FAM18"
cluster074	SEQF1037	Bacillus	anthracis	Ames
cluster3336	SEQF2813	Fusobacterium	nucleatum subsp. polymorphum	NCTC10562
cluster335	SEQF1166	Neisseria	elongata	ATCC 29315
cluster2699	SEQF2443	Peptoniphilaceae [G-1]	bacterium HMT 113	W5053
cluster451	SEQF1219	Escherichia	coli	UTI89
cluster1960	SEQF2113	Lactobacillus	plantarum	subsp. plantarum ST-III
cluster3254	SEQF2747	Capnocytophaga	sp. HMT 323	F0383
cluster2260	SEQF2268	Corynebacterium	diphtheriae	BH8
cluster1719	SEQF1961	Enterococcus	casseliflavus	ATCC 12755
cluster1737	SEQF1970	Capnocytophaga	sp. HMT 336	F0502
cluster417	SEQF1199	Escherichia	coli	42
cluster882	SEQF1485	Acinetobacter	baumannii	AB0057
cluster2219	SEQF2231	Streptococcus	pneumoniae	GA41317
cluster2787	SEQF2513	Pseudomonas	stutzeri	TS44
cluster3603	SEQF2943	Corynebacterium	tuberculostearicum	kpl1821
cluster2319	SEQF2283	Mycobacterium	tuberculosis	CTRI-2
cluster1165	SEQF1589	Streptococcus	pneumoniae	SP14-BS292
cluster3331	SEQF2808	Cutibacterium	sp. HMT 193	F0672
cluster473	SEQF1239	Haemophilus	parainfluenzae	T3T1
cluster2945	SEQF2591	Streptococcus	constellatus	subsp. pharyngis C818
cluster283	SEQF1140	Bacillus	anthracis	str. A0174
cluster996	SEQF1524	Streptococcus	pneumoniae	CDC0288-04
cluster1828	SEQF2002	Streptococcus	mitis	SK564
cluster904	SEQF1491	Staphylococcus	aureus	USA300_TCH959
cluster3536	SEQF2906	Haemophilus	influenzae	nml_hia_1
cluster2692	SEQF2440	Corynebacterium	urealyticum	DSM 7111
cluster1584	SEQF1871	Treponema	denticola	US-Trep/F0459
cluster3164	SEQF2704	Corynebacterium	diphtheriae	str. Aberdeen
cluster3752	SEQF3001	Corynebacterium	aurimucosum	hmsc074c01
cluster3542	SEQF2908	Roseomonas	gilardii	u14_5
cluster117	SEQF1057	Yersinia	pestis	Nepal516
cluster2835	SEQF2536	Delftia	acidovorans	CCUG 15835
cluster2853	SEQF2543	Lactobacillus	plantarum	subsp. plantarum P-8
cluster3470	SEQF2880	Paenibacillus	glucanolyticus	5162
cluster3022	SEQF2628	Lactobacillus	salivarius	cp400
cluster217	SEQF1116	Streptococcus	pneumoniae	CGSP14
cluster1797	SEQF1992	Pseudomonas	aeruginosa	HB15
cluster3720	SEQF2989	Corynebacterium	aurimucosum	hmsc074h12
cluster1088	SEQF1562	Yersinia	pestis	biovar Antiqua str. UG05-0454
cluster358	SEQF1173	Bacillus	subtilis	BSn5
cluster2340	SEQF2287	Neisseria	meningitidis	NZ-05/33
cluster3347	SEQF2820	Fusobacterium	nucleatum subsp. vincentii	3_1_36A2
cluster3017	SEQF2623	Rhodobacter	capsulatus	YW1
cluster1062	SEQF1559	Yersinia	pestis	Pestoides A
cluster631	SEQF1316	Staphylococcus	aureus	"Mu50, (VRSA),  ATCC 700699"
cluster3188	SEQF2714	Pseudomonas	pseudoalcaligenes	AD6
cluster151	SEQF1073	Lactobacillus	acidophilus	NCFM
cluster1038	SEQF1536	Streptococcus	pneumoniae	BS397
cluster1449	SEQF1807	Staphylococcus	aureus	A6300
cluster913	SEQF1492	Staphylococcus	aureus	MRSA USA300_TCH1516
cluster3689	SEQF2977	Corynebacterium	tuberculostearicum	kpl1856
cluster2214	SEQF2230	Streptococcus	pneumoniae	GA41301
cluster2190	SEQF2226	Streptococcus	pneumoniae	BS455
cluster3306	SEQF2790	Leptotrichia	sp. HMT 847	F0260
cluster1937	SEQF2099	Lactobacillus	iners	SPIN 1401G
cluster2087	SEQF2185	Yersinia	pestis	D106004
cluster1965	SEQF2119	Lactobacillus	rhamnosus	R0011
cluster2573	SEQF2355	Porphyromonas	gingivalis	F0569
cluster1867	SEQF2034	Aggregatibacter	actinomycetemcomitans	serotype b str. SCC1398
cluster1987	SEQF2149	Prevotella	salivae	DSM 15606
cluster2231	SEQF2233	Streptococcus	pneumoniae	GA47901
cluster2074	SEQF2183	Variovorax	paradoxus	EPS
cluster418	SEQF1200	Escherichia	coli	ED1a (O81)
cluster2425	SEQF2303	Streptococcus	pneumoniae	England14-9
cluster3283	SEQF2767	Streptococcus	oralis subsp. dentisani clade 398	F0392
cluster2463	SEQF2323	Bacillus	anthracis	str. H9401
cluster2292	SEQF2274	Corynebacterium	diphtheriae	HC04
cluster1862	SEQF2030	Achromobacter	xylosoxidans	C54
cluster2192	SEQF2226	Streptococcus	pneumoniae	BS455
cluster3743	SEQF2997	Haemophilus	haemolyticus	c1
cluster3360	SEQF2831	Aggregatibacter	actinomycetemcomitans	serotype d str. SA2200
cluster3177	SEQF2709	Delftia	acidovorans	2167 DR66
cluster2797	SEQF2515	Stenotrophomonas	maltophilia	AU12-09
cluster1025	SEQF1531	Streptococcus	pneumoniae	SP195
cluster2732	SEQF2480	Streptococcus	mitis	NCTC 12261
cluster3504	SEQF2890	Dietzia	cinnamea	p4
cluster2626	SEQF2394	Proteus	mirabilis	WGLW6
cluster038	SEQF1032	Mycobacterium	tuberculosis	CDC1551
cluster3610	SEQF2945	Corynebacterium	coyleae	hmsc034e11
cluster2840	SEQF2537	Delftia	acidovorans	CCUG 274B
cluster3450	SEQF2873	Corynebacterium	pilbarense	hmsc034a01
cluster498	SEQF1264	Neisseria	sicca	ATCC 29256
cluster2213	SEQF2230	Streptococcus	pneumoniae	GA41301
cluster780	SEQF1393	Peptostreptococcus	stomatis	"DSM 17678, W2278"
cluster1538	SEQF1846	Streptococcus	downei	F0415
cluster3367	SEQF2836	Aggregatibacter	actinomycetemcomitans	serotype e str. SA3096
cluster3654	SEQF2962	Corynebacterium	coyleae	hmsc05c01
cluster1705	SEQF1953	Aggregatibacter	actinomycetemcomitans	ANH9381
cluster1175	SEQF1590	Streptococcus	pneumoniae	SP9v-BS293
cluster2421	SEQF2303	Streptococcus	pneumoniae	England14-9
cluster445	SEQF1218	Escherichia	coli	UMN026 (O17:K52:H18)
cluster2723	SEQF2462	Treponema	lecithinolyticum	ATCC 700332
cluster3402	SEQF2853	Haematobacter	missouriensis	h2381
cluster2741	SEQF2485	Desulfobulbus	sp. HMT 041	Dsb2
cluster107	SEQF1056	Yersinia	pestis	KIM10+
cluster3807	SEQF3020	Corynebacterium	amycolatum	hmsc065h09
cluster210	SEQF1109	Neisseria	gonorrhoeae	NCCP11945
cluster3682	SEQF2975	Corynebacterium	amycolatum	hmsc063a05
cluster614	SEQF1312	Staphylococcus	aureus	JH1
cluster1035	SEQF1536	Streptococcus	pneumoniae	BS397
cluster600	SEQF1303	Pseudomonas	stutzeri	"A1501, CGMCC 0351"
cluster964	SEQF1515	Escherichia	coli	O157:H7 str. EC4486
cluster873	SEQF1472	Peptoniphilus	sp. HMT 386	F0131
cluster3223	SEQF2719	Ignavibacterium	album	JCM 16511
cluster2006	SEQF2164	Cutibacterium	acnes	TypeIA2 P.acn17
cluster1246	SEQF1648	Corynebacterium	matruchotii	ATCC 33806
cluster1607	SEQF1892	Brevundimonas	diminuta	"470-4, ATCC 13184"
cluster328	SEQF1165	Neisseria	subflava	NJ9703
cluster2000	SEQF2162	Cutibacterium	acnes	6609
cluster2503	SEQF2329	Neisseria	meningitidis	961-5945
cluster2330	SEQF2285	Neisseria	meningitidis	G2136
cluster3808	SEQF3020	Corynebacterium	amycolatum	hmsc065h09
cluster3099	SEQF2689	Actinomyces	viscosus	C505
cluster781	SEQF1395	Variovorax	paradoxus	S110
cluster1529	SEQF1844	Yersinia	pestis	KIM D27
cluster3399	SEQF2851	Corynebacterium	sp. HMT 207	hmsc074a01
cluster744	SEQF1364	Streptococcus	pyogenes	"MGAS9429, ATCC BAA-1315"
cluster2286	SEQF2273	Corynebacterium	diphtheriae	HC03
cluster1447	SEQF1807	Staphylococcus	aureus	A6300
cluster1772	SEQF1984	Lactobacillus	plantarum	subsp. plantarum ATCC 14917
cluster1021	SEQF1530	Streptococcus	pneumoniae	MLV-016
cluster297	SEQF1143	Bacillus	anthracis	str. A0389
cluster634	SEQF1317	Staphylococcus	aureus	 MW2
cluster955	SEQF1513	Escherichia	coli	O157:H7 str. EC4206
cluster655	SEQF1324	Staphylococcus	epidermidis	"RP62A, ATCC 35984"
cluster363	SEQF1178	Campylobacter	curvus	525.92
cluster640	SEQF1318	Staphylococcus	aureus	N315
cluster3652	SEQF2961	Corynebacterium	simulans	hmsc036d03
cluster1230	SEQF1640	Staphylococcus	epidermidis	BCM-HMP0060
cluster3869	SEQF3041	Corynebacterium	pseudodiphtheriticum	EPI_003_04_2554_SCH2473622
cluster1354	SEQF1718	Lactobacillus	rhamnosus	Lc 705
cluster2990	SEQF2615	Eikenella	corrodens	CC92I
cluster568	SEQF1298	Pseudomonas	aeruginosa	UCBPP-PA14
cluster2062	SEQF2174	Stenotrophomonas	maltophilia	JV3
cluster937	SEQF1508	Escherichia	coli	O157:H7 str. EC4045
cluster1168	SEQF1589	Streptococcus	pneumoniae	SP14-BS292
cluster3479	SEQF2882	Corynebacterium	tuberculostearicum	sk141
cluster949	SEQF1512	Escherichia	coli	O157:H7 str. EC4196
cluster1996	SEQF2159	Neisseria	lactamica	020-06
cluster3888	SEQF3046	Corynebacterium	aurimucosum	hmsc072a04
cluster2676	SEQF2423	Pseudomonas	pseudoalcaligenes	CECT 5344
cluster2046	SEQF2170	Pseudomonas	stutzeri	ATCC 17588 = LMG 11199
cluster2254	SEQF2266	Bordetella	pertussis	CS
cluster2748	SEQF2487	Bradyrhizobium	elkanii	USDA 76
cluster1874	SEQF2039	Bacillus	subtilis	subsp. natto BEST195
cluster1488	SEQF1830	Staphylococcus	aureus	MN8
cluster3179	SEQF2709	Delftia	acidovorans	2167 DR66
cluster2490	SEQF2325	Bradyrhizobium	elkanii	587
cluster2514	SEQF2332	Pseudomonas	fluorescens	A506
cluster3372	SEQF2840	Fusobacterium	hwasookii	ChDC F206
cluster3210	SEQF2716	Burkholderia	cepacia	JBK9
cluster524	SEQF1283	Neisseria	meningitidis	"serogroup A, Z2491"
cluster1317	SEQF1705	Streptococcus	vestibularis	F0396
cluster1178	SEQF1594	Kingella	oralis	ATCC 51147
cluster1206	SEQF1619	Pseudomonas	aeruginosa	LESB58
cluster1092	SEQF1563	Yersinia	pestis	biovar Mediaevalis str. K1973002
cluster1878	SEQF2039	Bacillus	subtilis	subsp. natto BEST195
cluster3750	SEQF2999	Corynebacterium	striatum	hmsc06c06
cluster1226	SEQF1638	Lactobacillus	brevis	ATCC 27305
cluster891	SEQF1488	Staphylococcus	aureus	930918-3
cluster2462	SEQF2323	Bacillus	anthracis	str. H9401
cluster2948	SEQF2592	Streptococcus	intermedius	B196
cluster1055	SEQF1556	Yersinia	pestis	CA88-4125
cluster2555	SEQF2347	Fusobacterium	necrophorum	subsp. funduliforme ATCC 51357
cluster1236	SEQF1642	Streptococcus	pneumoniae	ATCC 700669
cluster3677	SEQF2972	Corynebacterium	pseudodiphtheriticum	kpl1989
cluster2720	SEQF2457	Porphyromonas	gingivalis	F0185
cluster674	SEQF1338	Streptococcus	agalactiae	NEM316
cluster461	SEQF1227	Haemophilus	influenzae	86-028NP
cluster587	SEQF1301	Pseudomonas	fluorescens	Pf0-1
cluster091	SEQF1052	Listeria	monocytogenes	4b H7858
cluster3529	SEQF2901	Staphylococcus	hominis	as3
cluster695	SEQF1344	Streptococcus	pneumoniae	INV200
cluster1671	SEQF1929	Streptococcus	pneumoniae	AP200
cluster3395	SEQF2850	Anoxybacillus	flavithermus	dsm_2641t
cluster238	SEQF1130	Mycobacterium	tuberculosis	KZN 1435
cluster232	SEQF1129	Mycobacterium	tuberculosis	H37Ra
cluster1150	SEQF1587	Streptococcus	pneumoniae	BS457
cluster2285	SEQF2273	Corynebacterium	diphtheriae	HC03
cluster1948	SEQF2106	Klebsiella	pneumoniae	KCTC 2242
cluster2784	SEQF2510	Prevotella	oris	DSM 18711
cluster793	SEQF1398	Acinetobacter	baumannii	ACICU
cluster240	SEQF1130	Mycobacterium	tuberculosis	KZN 1435
cluster3183	SEQF2712	Staphylococcus	warneri	Lyso 1 2011
cluster1121	SEQF1567	Yersinia	pestis	biovar Orientalis str. IP275
cluster2307	SEQF2277	Corynebacterium	diphtheriae	VA01
cluster2543	SEQF2342	Streptococcus	oralis subsp. oralis	SK1074
cluster1203	SEQF1619	Pseudomonas	aeruginosa	LESB58
cluster2422	SEQF2303	Streptococcus	pneumoniae	England14-9
cluster064	SEQF1034	Mycobacterium	tuberculosis	H37Rv (lab strain)
cluster2156	SEQF2206	Staphylococcus	epidermidis	FRI909
cluster1263	SEQF1658	Paenibacillus	phoenicis	D14
cluster2150	SEQF2204	Staphylococcus	caprae	C87
cluster2247	SEQF2248	Bifidobacterium	longum	DJO10A
cluster924	SEQF1501	Lactococcus	lactis	SK11
cluster2788	SEQF2513	Pseudomonas	stutzeri	TS44
cluster3827	SEQF3028	Corynebacterium	amycolatum	hmsc061h03
cluster649	SEQF1320	Staphylococcus	aureus	"MRSA, USA300, FPR3757"
cluster1815	SEQF1995	Streptococcus	agalactiae	ATCC 13813
cluster3860	SEQF3038	Corynebacterium	coyleae	hmsc075d04
cluster1998	SEQF2161	Cutibacterium	acnes	266
cluster2759	SEQF2487	Bradyrhizobium	elkanii	USDA 76
cluster1220	SEQF1622	Acinetobacter	baumannii	AB307-0294
cluster3285	SEQF2771	Treponema	putidum	"OMZ 758, ATCC 700334"
cluster3481	SEQF2884	Acinetobacter	lwoffii	niph_512
cluster1801	SEQF1992	Pseudomonas	aeruginosa	HB15
cluster1057	SEQF1558	Yersinia	pestis	Nepal516
cluster114	SEQF1057	Yersinia	pestis	Nepal516
cluster3327	SEQF2807	Tannerella	sp. HMT 286	W11667
cluster2546	SEQF2344	Streptococcus	parasanguinis clade 721	FW213
cluster893	SEQF1488	Staphylococcus	aureus	930918-3
cluster809	SEQF1403	Streptococcus	pneumoniae	SP19-BS75
cluster3036	SEQF2636	Tannerella	sp. HMT 286	isolate Cell 5
cluster605	SEQF1310	Staphylococcus	aureus	RF122
cluster1679	SEQF1935	Prevotella	pleuritidis	F0068
cluster1224	SEQF1624	Escherichia	coli	O127:H6 str. E2348/69
cluster3418	SEQF2860	Staphylococcus	cohnii	snuds_2
cluster3483	SEQF2885	Janibacter	indicus	yfy001
cluster2870	SEQF2555	Fusobacterium	periodonticum	1_1_41FAA
cluster421	SEQF1200	Escherichia	coli	ED1a (O81)
cluster3229	SEQF2729	Prevotella	bivia	DNF00320
cluster3719	SEQF2989	Corynebacterium	aurimucosum	hmsc074h12
cluster875	SEQF1478	Lachnoanaerobaculum	umeaense	F0167
cluster1120	SEQF1567	Yersinia	pestis	biovar Orientalis str. IP275
cluster2849	SEQF2542	Lactobacillus	plantarum	16
cluster368	SEQF1183	Neisseria	polysaccharea	ATCC 43768
cluster3338	SEQF2814	Fusobacterium	nucleatum subsp. polymorphum	ChDC F306
cluster371	SEQF1184	Corynebacterium	diphtheriae	NCTC 13129
cluster3613	SEQF2948	Corynebacterium	aurimucosum	hmsc065d07
cluster1767	SEQF1981	Comamonas	testosteroni	KF-1
cluster3576	SEQF2921	Anaerolineae [G-1]	bacterium HMT 439	w11661
cluster2561	SEQF2351	Neisseria	sicca	VK64
cluster2822	SEQF2534	Enterococcus	durans	ATCC 6056
cluster3899	SEQF3050	Corynebacterium	sp. HMT 207	nml_150383
cluster3506	SEQF2891	Streptococcus	thermophilus	jim_8232
cluster3691	SEQF2978	Corynebacterium	jeikeium	hmsc08a12
cluster2804	SEQF2521	Pseudomonas	stutzeri	DSM 10701
cluster1378	SEQF1734	Enterococcus	casseliflavus	EC30
cluster1787	SEQF1991	Pseudomonas	aeruginosa	138244
cluster1266	SEQF1659	Neisseria	oralis	F0314
cluster790	SEQF1398	Acinetobacter	baumannii	ACICU
cluster102	SEQF1055	Yersinia	pestis	CO92
cluster2712	SEQF2450	Actinomyces	graevenitzii	F0530
cluster1616	SEQF1900	Capnocytophaga	sp. HMT 326	F0382
cluster325	SEQF1164	Acinetobacter	baumannii	AYE
cluster3551	SEQF2910	Corynebacterium	amycolatum	atcc_6931
cluster740	SEQF1362	Streptococcus	pyogenes	"M28 MGAS6180, ATCC BAA-1064"
cluster1670	SEQF1927	Eubacterium	limosum	KIST612
cluster296	SEQF1143	Bacillus	anthracis	str. A0389
cluster3011	SEQF2621	Rhodobacter	capsulatus	R121
cluster3567	SEQF2915	Corynebacterium	appendicis	"CIP_107643,DSM_44531"
cluster1645	SEQF1920	Lysinibacillus	fusiformis	ZC1
cluster3165	SEQF2704	Corynebacterium	diphtheriae	str. Aberdeen
cluster1379	SEQF1754	Escherichia	coli	83972
cluster108	SEQF1056	Yersinia	pestis	KIM10+
cluster187	SEQF1096	Mycobacterium	tuberculosis	F11 (ExPEC)
cluster2939	SEQF2589	Streptococcus	constellatus	subsp. pharyngis C1050
cluster1338	SEQF1710	Escherichia	coli	O111:H- str. 11128
cluster533	SEQF1289	Proteus	mirabilis	HI4320
cluster3057	SEQF2670	Fusobacterium	necrophorum	subsp. funduliforme B35
cluster3128	SEQF2696	Pseudomonas	aeruginosa	ATCC 14886
cluster692	SEQF1344	Streptococcus	pneumoniae	INV200
cluster2505	SEQF2329	Neisseria	meningitidis	961-5945
cluster2617	SEQF2388	Corynebacterium	diphtheriae	bv. intermedius str. NCTC 5011
cluster012	SEQF1013	Corynebacterium	matruchotii	ATCC 14266
cluster2139	SEQF2202	Staphylococcus	aureus	O11
cluster2711	SEQF2449	Actinomyces	johnsonii	F0542
cluster739	SEQF1362	Streptococcus	pyogenes	"M28 MGAS6180, ATCC BAA-1064"
cluster590	SEQF1302	Pseudomonas	fluorescens	SBW25
cluster3191	SEQF2714	Pseudomonas	pseudoalcaligenes	AD6
cluster3126	SEQF2696	Pseudomonas	aeruginosa	ATCC 14886
cluster3772	SEQF3006	Corynebacterium	amycolatum	hmsc11h10
cluster1336	SEQF1710	Escherichia	coli	O111:H- str. 11128
